State,Mineral,Year,Quantity,Value_Cr
India,Manganese Ore,2021,2589271,19717530
Andhra Pradesh,Manganese Ore,2021,166872,737163
Gujarat,Manganese Ore,2021,18362,11183
Jharkhand,Manganese Ore,2021,4785,43579
Karnataka,Manganese Ore,2021,294711,1456474
Madhya Pradesh,Manganese Ore,2021,831348,6840494
Maharashtra,Manganese Ore,2021,731458,6941500
Odisha,Manganese Ore,2021,516865,3583768
Rajasthan,Manganese Ore,2021,7497,22307
Telangana,Manganese Ore,2021,17373,81062
India,Silver,2021,557691,21179042
Karnataka,Silver,2021,173,6609
Rajasthan,Silver,2021,557518,21172433
India,Tin Conc.,2021,16758,10139
Chhattisgarh,Tin Conc.,2021,16758,10139
India,Apatite,2021,0,0
Andhra Pradesh,Apatite,2021,0,0
India,Phosphorite,2021,1534269,3771584
Madhya Pradesh,Phosphorite,2021,113303,98920
Rajasthan,Phosphorite,2021,1420966,3672664
India,Diamond,2021,39699,410737
Madhya Pradesh,Diamond,2021,39699,410737
India,Fluorite(graded),2021,1313,7097
Maharashtra,Fluorite(graded),2021,1313,7097
India,Flint Stone,2021,0,0
Jharkhand,Flint Stone,2021,0,0
India,Garnet (abrasive),2021,158154,1636667
Andhra Pradesh,Garnet (abrasive),2021,111390,1299361
Odisha,Garnet (abrasive),2021,34170,242053
Rajasthan,Garnet (abrasive),2021,5781,19084
Tamil Nadu,Garnet (abrasive),2021,6813,76169
India,Graphite(Natural),2021,33558,25656
Jharkhand,Graphite(Natural),2021,18734,17094
Kerala,Graphite(Natural),2021,150,1200
Odisha,Graphite(Natural),2021,14674,7362
Tamil Nadu,Graphite(Natural),2021,0,0
India,Kyanite,2021,7818,23002
Maharashtra,Kyanite,2021,7818,23002
India,Sillimanite,2021,81638,669340
Andhra Pradesh,Sillimanite,2021,53749,472572
Kerala,Sillimanite,2021,7548,71193
Maharashtra,Sillimanite,2021,3184,10741
Meghalaya,Sillimanite,2021,459,3335
Odisha,Sillimanite,2021,16698,111499
India,Limestone,2021,338552,74407420
Andhra Pradesh,Limestone,2021,38909,8193623
Assam,Limestone,2021,1432,461205
Bihar,Limestone,2021,43,24899
Chhattisgarh,Limestone,2021,36352,8283771
Gujarat,Limestone,2021,24948,4884583
Himachal Pradesh,Limestone,2021,11500,2357252
Jammu & Kashmir,Limestone,2021,1262,332351
Jharkhand,Limestone,2021,1191,516664
Karnataka,Limestone,2021,30052,5155861
Kerala,Limestone,2021,444,262352
Madhya Pradesh,Limestone,2021,42744,8820080
Maharashtra,Limestone,2021,14152,3134443
Meghalaya,Limestone,2021,6593,2786265
Odisha,Limestone,2021,4968,1607827
Rajasthan,Limestone,2021,74036,16197297
